Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2001,5,23,3,1353,1353,1523,1518,HP,257,N813A�,90,85,70,5,0,SFO,LAS,414,4,16,0,NA,0,NA,NA,NA,NA,NA
2001,3,5,1,1941,1943,2259,2303,UA,58,N672�1,138,140,119,-4,-2,SFO,DEN,967,5,14,0,NA,0,NA,NA,NA,NA,NA
2001,1,31,3,1510,1510,1628,1630,WN,1156,N635@@,78,80,70,-2,0,OAK,SAN,446,3,5,0,NA,0,NA,NA,NA,NA,NA
2001,7,29,7,1749,1740,1903,1900,WN,595,N629@@,74,80,61,3,9,OAK,LAS,407,7,6,0,NA,0,NA,NA,NA,NA,NA
2001,5,24,4,1302,1115,1830,1644,UA,1062,N834�1,208,209,183,106,107,SFO,AUS,1504,4,21,0,NA,0,NA,NA,NA,NA,NA
2001,7,24,2,842,830,956,945,WN,2143,N638@@,74,75,63,11,12,OAK,LAX,337,5,6,0,NA,0,NA,NA,NA,NA,NA
2001,9,16,7,NA,2035,NA,2148,UA,2474,�NKNO�,NA,73,NA,NA,NA,SFO,MFR,329,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,4,14,6,1950,1950,2100,2100,WN,391,N785@@,70,70,55,0,0,OAK,ONT,361,4,11,0,NA,0,NA,NA,NA,NA,NA
2001,3,7,3,1518,1521,1715,1715,AS,363,N611A�,117,114,95,0,-3,OAK,SEA,671,11,11,0,NA,0,NA,NA,NA,NA,NA
2001,3,16,5,1530,1507,1625,1614,UA,2217,N924�1,55,67,45,11,23,SFO,BUR,326,1,9,0,NA,0,NA,NA,NA,NA,NA
2001,6,27,3,1639,1644,1811,1805,AS,438,N607A�,92,81,60,6,-5,OAK,SNA,371,20,12,0,NA,0,NA,NA,NA,NA,NA
2001,3,20,2,1100,1100,1213,1220,WN,598,N396@@,73,80,58,-7,0,OAK,LAX,337,6,9,0,NA,0,NA,NA,NA,NA,NA
2001,8,2,4,1138,1140,1316,1315,AA,549,N3B�A1,98,95,70,1,-2,SFO,SNA,372,10,18,0,NA,0,NA,NA,NA,NA,NA
2001,1,8,1,949,922,1135,1117,AS,431,N953A�,106,115,88,18,27,OAK,SEA,671,4,14,0,NA,0,NA,NA,NA,NA,NA
2001,7,7,6,840,820,1156,1138,UA,1218,N7451�,136,138,120,18,20,OAK,DEN,957,4,12,0,NA,0,NA,NA,NA,NA,NA
2001,1,6,6,1640,1645,1802,1803,AS,348,N612A�,82,78,68,-1,-5,OAK,SNA,371,6,8,0,NA,0,NA,NA,NA,NA,NA
2001,10,3,3,2045,2045,2240,2235,WN,497,N615@@,115,110,101,5,0,OAK,PHX,646,2,12,0,NA,0,NA,NA,NA,NA,NA
2001,5,1,2,2157,2200,607,607,US,78,N623A�,310,307,292,0,-3,SFO,PHL,2521,3,15,0,NA,0,NA,NA,NA,NA,NA
2001,10,26,5,1344,1355,1959,1957,UA,1064,N430�1,255,242,216,2,-11,OAK,ORD,1835,31,8,0,NA,0,NA,NA,NA,NA,NA
2001,7,6,5,800,800,1331,1330,NW,592,N146��,211,210,177,1,0,SFO,MSP,1589,11,23,0,NA,0,NA,NA,NA,NA,NA
2001,4,17,2,1600,1600,1712,1723,UA,2049,N921�1,72,83,56,-11,0,SFO,LAX,337,8,8,0,NA,0,NA,NA,NA,NA,NA
2001,2,19,1,924,925,1732,1747,DL,80,-N183D,308,322,276,-15,-1,SFO,JFK,2586,11,21,0,NA,0,NA,NA,NA,NA,NA
2001,3,23,5,2128,2128,2243,2248,HP,420,N186A�,75,80,65,-5,0,OAK,LAS,407,3,7,0,NA,0,NA,NA,NA,NA,NA
2001,8,20,1,842,730,952,851,UA,1003,N394�1,70,81,54,61,72,SFO,LAX,337,7,9,0,NA,0,NA,NA,NA,NA,NA
2001,1,31,3,957,1000,1059,1105,UA,2399,N393�1,62,65,45,-6,-3,SFO,SBA,262,3,14,0,NA,0,NA,NA,NA,NA,NA
2001,5,8,2,1930,1930,2034,2045,WN,2188,N724@@,64,75,55,-11,0,OAK,LAX,337,4,5,0,NA,0,NA,NA,NA,NA,NA
2001,5,4,5,754,758,843,900,UA,2436,N378�1,49,62,34,-17,-4,SFO,RNO,192,4,11,0,NA,0,NA,NA,NA,NA,NA
2001,12,17,1,618,620,1204,1218,UA,458,N818�1,226,238,207,-14,-2,OAK,ORD,1835,7,12,0,NA,0,NA,NA,NA,NA,NA
2001,12,26,3,1732,1700,1830,1800,WN,935,N384@@,58,60,46,30,32,OAK,BUR,325,2,10,0,NA,0,NA,NA,NA,NA,NA
2001,1,28,7,1315,1305,2101,2059,UA,806,N530�1,286,294,260,2,10,SFO,IAD,2419,5,21,0,NA,0,NA,NA,NA,NA,NA
2001,3,14,3,2105,2035,2334,2320,WN,497,N691@@,89,105,80,14,30,OAK,PHX,646,4,5,0,NA,0,NA,NA,NA,NA,NA
2001,1,23,2,1955,1950,2110,2110,WN,350,N643@@,75,80,57,0,5,OAK,LAS,407,2,16,0,NA,0,NA,NA,NA,NA,NA
2001,2,11,7,707,710,1425,1450,US,740,N651��,258,280,238,-25,-3,SFO,PIT,2254,6,14,0,NA,0,NA,NA,NA,NA,NA
2001,1,19,5,620,620,723,725,WN,448,N340@@,63,65,51,-2,0,OAK,BUR,325,2,10,0,NA,0,NA,NA,NA,NA,NA
2001,8,30,4,927,931,1100,1053,AS,362,N607A�,93,82,67,7,-4,OAK,SNA,371,18,8,0,NA,0,NA,NA,NA,NA,NA
2001,12,31,1,1505,1500,1610,1615,WN,188,N626@@,65,75,55,-5,5,OAK,LAX,337,5,5,0,NA,0,NA,NA,NA,NA,NA
2001,2,24,6,NA,1605,NA,1731,AA,2803,�NKNO�,NA,86,NA,NA,NA,SFO,SNA,372,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,15,6,NA,2200,NA,2324,UA,2326,�NKNO�,NA,84,NA,NA,NA,SFO,LAS,414,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,2,3,6,1455,1500,1554,1607,UA,2217,N917�1,59,67,48,-13,-5,SFO,BUR,326,1,10,0,NA,0,NA,NA,NA,NA,NA
2001,11,12,1,1345,1330,1520,1525,WN,574,N784@@,95,115,85,-5,15,OAK,SEA,671,5,5,0,NA,0,NA,NA,NA,NA,NA
2001,10,1,1,1208,1210,1332,1341,AA,549,N3CRA1,84,91,67,-9,-2,SFO,SNA,372,5,12,0,NA,0,NA,NA,NA,NA,NA
2001,5,15,2,1610,1610,1734,1730,WN,838,N642@@,84,80,73,4,0,OAK,SAN,446,3,8,0,NA,0,NA,NA,NA,NA,NA
2001,7,17,2,1426,1430,1535,1539,UA,2217,N934�1,69,69,53,-4,-4,SFO,BUR,326,1,15,0,NA,0,NA,NA,NA,NA,NA
2001,10,6,6,849,853,1019,1029,AS,575,N625A�,90,96,77,-10,-4,OAK,PDX,543,3,10,0,NA,0,NA,NA,NA,NA,NA
2001,4,8,7,758,800,1345,1409,AA,1988,N3CFA1,227,249,203,-24,-2,SFO,ORD,1846,11,13,0,NA,0,NA,NA,NA,NA,NA
2001,3,26,1,1855,1855,2210,2200,WN,964,N679@@,135,125,112,10,0,OAK,ABQ,889,4,19,0,NA,0,NA,NA,NA,NA,NA
2001,5,27,7,1330,1330,1450,1450,WN,659,N679@@,80,80,71,0,0,OAK,SNA,371,3,6,0,NA,0,NA,NA,NA,NA,NA
2001,7,27,5,1358,1344,1615,1538,AS,379,N967A�,137,114,92,37,14,SFO,SEA,679,8,37,0,NA,0,NA,NA,NA,NA,NA
2001,10,8,1,1600,1600,1708,1715,WN,2213,N528@@,68,75,56,-7,0,OAK,LAX,337,4,8,0,NA,0,NA,NA,NA,NA,NA
2001,8,11,6,1505,1500,1621,1615,WN,188,N785@@,76,75,57,6,5,OAK,LAX,337,11,8,0,NA,0,NA,NA,NA,NA,NA
2001,9,13,4,NA,1125,NA,1945,UA,288,�NKNO�,NA,320,NA,NA,NA,SFO,PHL,2521,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,4,3,2,NA,1800,NA,1915,WN,1234,�NKNO�,NA,75,NA,NA,NA,OAK,LAX,337,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,9,14,5,922,920,1105,1125,UA,2138,N384�1,103,125,90,-20,2,SFO,SEA,679,3,10,0,NA,0,NA,NA,NA,NA,NA
2001,4,1,7,1451,1440,1550,1540,WN,2147,N396@@,59,60,49,10,11,OAK,BUR,325,2,8,0,NA,0,NA,NA,NA,NA,NA
2001,8,25,6,1745,1750,2352,2352,UA,146,N832�1,247,242,223,0,-5,SFO,ORD,1846,7,17,0,NA,0,NA,NA,NA,NA,NA
2001,1,31,3,NA,1830,NA,1945,WN,1476,�NKNO�,NA,75,NA,NA,NA,OAK,LAX,337,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,12,21,5,845,840,1020,1012,AA,1907,N530A1,95,92,57,8,5,SFO,LAX,337,8,30,0,NA,0,NA,NA,NA,NA,NA
2001,2,10,6,1740,1740,2026,2033,HP,429,N184A�,106,113,92,-7,0,OAK,PHX,646,9,5,0,NA,0,NA,NA,NA,NA,NA
2001,8,26,7,758,800,916,928,UA,2306,N376�1,78,88,62,-12,-2,SFO,LAS,414,5,11,0,NA,0,NA,NA,NA,NA,NA
2001,5,18,5,640,645,1448,1427,US,96,N165��,308,282,274,21,-5,SFO,CLT,2296,4,30,0,NA,0,NA,NA,NA,NA,NA
2001,4,21,6,1130,1130,1448,1452,UA,1642,N335�1,138,142,120,-4,0,OAK,DEN,957,10,8,0,NA,0,NA,NA,NA,NA,NA
2001,3,2,5,1824,1820,2108,2107,DL,2218,-N627D,104,107,82,1,4,SFO,SLC,599,11,11,0,NA,0,NA,NA,NA,NA,NA
2001,6,17,7,1835,1820,1941,1940,WN,836,N327@@,66,80,57,1,15,OAK,SNA,371,2,7,0,NA,0,NA,NA,NA,NA,NA
2001,4,6,5,1642,1635,1932,1924,DL,866,-N623D,110,109,82,8,7,SFO,SLC,599,8,20,0,NA,0,NA,NA,NA,NA,NA
2001,4,12,4,1645,1645,1805,1803,AS,348,N611A�,80,78,67,2,0,OAK,SNA,371,4,9,0,NA,0,NA,NA,NA,NA,NA
2001,9,18,2,700,700,812,815,WN,973,N762@@,72,75,60,-3,0,OAK,ONT,361,3,9,0,NA,0,NA,NA,NA,NA,NA
2001,8,6,1,606,606,803,801,HP,332,N158A�,117,115,96,2,0,OAK,PHX,646,13,8,0,NA,0,NA,NA,NA,NA,NA
2001,3,16,5,1251,1220,1827,1803,CO,426,N17812,216,223,199,24,31,OAK,IAH,1628,6,11,0,NA,0,NA,NA,NA,NA,NA
2001,12,24,1,1555,1600,1639,1650,UA,1808,N919�1,44,50,32,-11,-5,SFO,RNO,192,3,9,0,NA,0,NA,NA,NA,NA,NA
2001,8,28,2,700,700,808,820,WN,753,N504@@,68,80,52,-12,0,OAK,LAX,337,8,8,0,NA,0,NA,NA,NA,NA,NA
2001,11,20,2,735,730,1518,1511,US,740,N168��,283,281,262,7,5,SFO,PIT,2254,9,12,0,NA,0,NA,NA,NA,NA,NA
2001,10,2,2,1510,1510,1652,1700,WN,294,N715@@,102,110,94,-8,0,OAK,SEA,671,4,4,0,NA,0,NA,NA,NA,NA,NA
2001,1,25,4,NA,1230,NA,2048,TW,810,�NKNO�,NA,318,NA,NA,NA,SFO,JFK,2586,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,2,18,7,1122,1123,1707,1729,UA,628,N803�1,225,246,204,-22,-1,SFO,ORD,1846,3,18,0,NA,0,NA,NA,NA,NA,NA
2001,6,21,4,1005,1005,1114,1115,WN,583,N501@@,69,70,58,-1,0,OAK,ONT,361,3,8,0,NA,0,NA,NA,NA,NA,NA
2001,8,24,5,700,700,812,810,WN,973,N754@@,72,70,55,2,0,OAK,ONT,361,3,14,0,NA,0,NA,NA,NA,NA,NA
2001,6,4,1,2350,2350,728,723,DL,384,-N120D,278,273,254,5,0,SFO,ATL,2139,5,19,0,NA,0,NA,NA,NA,NA,NA
2001,5,30,3,1030,1030,1141,1150,WN,827,N379@@,71,80,57,-9,0,OAK,LAX,337,10,4,0,NA,0,NA,NA,NA,NA,NA
2001,12,15,6,1735,1735,1841,1845,WN,445,N307@@,66,70,53,-4,0,OAK,ONT,361,3,10,0,NA,0,NA,NA,NA,NA,NA
2001,11,21,3,1255,1255,2128,2056,AA,442,N390A1,333,301,276,32,0,SFO,MIA,2585,6,51,0,NA,0,NA,NA,NA,NA,NA
2001,1,10,3,1512,1400,1630,1510,WN,870,N502@@,78,70,58,80,72,OAK,LAX,337,8,12,0,NA,0,NA,NA,NA,NA,NA
2001,4,21,6,1246,1245,1802,1807,DL,1558,-N952�,196,202,173,-5,1,OAK,DFW,1456,14,9,0,NA,0,NA,NA,NA,NA,NA
2001,12,22,6,635,635,928,925,WN,1586,N688@@,113,110,90,3,0,OAK,PHX,646,3,20,0,NA,0,NA,NA,NA,NA,NA
2001,12,4,2,1236,1240,1804,1803,AA,870,N633A1,208,203,177,1,-4,SFO,DFW,1464,21,10,0,NA,0,NA,NA,NA,NA,NA
2001,1,13,6,1413,1415,1932,1946,CO,542,N33132,199,211,182,-14,-2,SFO,IAH,1635,7,10,0,NA,0,NA,NA,NA,NA,NA
2001,6,24,7,1702,1700,1825,1827,UA,901,N943�1,83,87,55,-2,2,SFO,LAX,337,9,19,0,NA,0,NA,NA,NA,NA,NA
2001,12,27,4,1936,1930,2054,2050,UA,931,N448�1,78,80,63,4,6,SFO,SAN,447,2,13,0,NA,0,NA,NA,NA,NA,NA
2001,2,16,5,1702,1655,2024,2015,UA,1624,N935�1,142,140,127,9,7,OAK,DEN,957,5,10,0,NA,0,NA,NA,NA,NA,NA
2001,11,8,4,1152,1130,1750,1738,AA,682,N327A1,238,248,214,12,22,SFO,ORD,1846,12,12,0,NA,0,NA,NA,NA,NA,NA
2001,1,25,4,838,835,1424,1425,TW,66,N709��,226,230,193,-1,3,SFO,STL,1736,5,28,0,NA,0,NA,NA,NA,NA,NA
2001,11,27,2,852,850,1031,1025,UA,1582,N393�1,99,95,88,6,2,SFO,PDX,550,3,8,0,NA,0,NA,NA,NA,NA,NA
2001,9,2,7,2038,2030,2157,2150,WN,1438,N636@@,79,80,59,7,8,OAK,LAX,337,5,15,0,NA,0,NA,NA,NA,NA,NA
2001,4,16,1,1902,1855,2156,2200,WN,964,N752@@,114,125,104,-4,7,OAK,ABQ,889,4,6,0,NA,0,NA,NA,NA,NA,NA
2001,10,25,4,1642,1645,1745,1754,UA,2221,N933�1,63,69,53,-9,-3,SFO,BUR,326,1,9,0,NA,0,NA,NA,NA,NA,NA
2001,5,4,5,900,900,1736,1738,UA,998,N538�1,336,338,306,-2,0,SFO,BOS,2704,9,21,0,NA,0,NA,NA,NA,NA,NA
2001,5,23,3,1900,1900,2003,2000,WN,2215,N724@@,63,60,52,3,0,OAK,BUR,325,2,9,0,NA,0,NA,NA,NA,NA,NA
2001,5,12,6,626,630,1206,1157,DL,2216,-N991D,220,207,193,9,-4,OAK,DFW,1456,8,19,0,NA,0,NA,NA,NA,NA,NA
2001,5,10,4,1432,1435,2236,2241,UA,184,N446�1,304,306,281,-5,-3,SFO,IAD,2419,6,17,0,NA,0,NA,NA,NA,NA,NA
2001,6,19,2,800,800,900,915,WN,458,N601@@,60,75,50,-15,0,OAK,LAX,337,4,6,0,NA,0,NA,NA,NA,NA,NA
2001,2,28,3,NA,1507,NA,1614,UA,2217,�NKNO�,NA,67,NA,NA,NA,SFO,BUR,326,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,8,17,5,830,830,959,1001,UA,2155,N372�1,89,91,70,-2,0,SFO,SAN,447,3,16,0,NA,0,NA,NA,NA,NA,NA
2001,5,31,4,1505,1500,1619,1610,WN,674,N514@@,74,70,60,9,5,OAK,ONT,361,4,10,0,NA,0,NA,NA,NA,NA,NA
2001,7,11,3,1855,1900,2014,2029,UA,2065,N953�1,79,89,56,-15,-5,SFO,LAX,337,2,21,0,NA,0,NA,NA,NA,NA,NA
2001,5,23,3,1204,1205,1753,1754,TW,264,N715��,229,229,210,-1,-1,SFO,STL,1736,5,14,0,NA,0,NA,NA,NA,NA,NA
2001,11,24,6,1202,1154,1507,1510,UA,1136,N372�1,125,136,115,-3,8,OAK,DEN,957,4,6,0,NA,0,NA,NA,NA,NA,NA
2001,3,6,2,1433,1430,1752,1758,UA,1402,N506�1,139,148,125,-6,3,SFO,DEN,967,5,9,0,NA,0,NA,NA,NA,NA,NA
2001,6,22,5,826,830,931,940,UA,2207,N358�1,65,70,48,-9,-4,SFO,BUR,326,2,15,0,NA,0,NA,NA,NA,NA,NA
2001,6,30,6,821,820,1133,1138,UA,1218,N7454�,132,138,117,-5,1,OAK,DEN,957,7,8,0,NA,0,NA,NA,NA,NA,NA
2001,2,19,1,106,110,645,640,CO,1716,N35888,219,210,185,5,-4,SFO,IAH,1635,5,29,0,NA,0,NA,NA,NA,NA,NA
2001,6,15,5,2051,2040,2202,2153,UA,2474,N386�1,71,73,48,9,11,SFO,MFR,329,4,19,0,NA,0,NA,NA,NA,NA,NA
2001,12,18,2,1850,1852,2136,2144,HP,624,N179A�,106,112,92,-8,-2,OAK,PHX,646,7,7,0,NA,0,NA,NA,NA,NA,NA
2001,5,22,2,854,900,1650,1640,US,1202,N723��,296,280,275,10,-6,SFO,PIT,2254,10,11,0,NA,0,NA,NA,NA,NA,NA
2001,7,7,6,654,700,1028,1033,UA,425,N7281�,154,153,122,-5,-6,SFO,DEN,967,18,14,0,NA,0,NA,NA,NA,NA,NA
2001,12,29,6,1420,1400,1530,1510,WN,1721,N363@@,70,70,54,20,20,OAK,ONT,361,6,10,0,NA,0,NA,NA,NA,NA,NA
2001,5,13,7,2026,2024,2155,2156,AS,355,N619A�,89,92,80,-1,2,OAK,PDX,543,2,7,0,NA,0,NA,NA,NA,NA,NA
2001,10,31,3,1705,1655,1909,1855,WN,1350,N314@@,124,120,113,14,10,OAK,SEA,671,4,7,0,NA,0,NA,NA,NA,NA,NA
2001,2,18,7,1259,1200,1424,1321,UA,2031,N923�1,85,81,63,63,59,SFO,LAX,337,9,13,0,NA,0,NA,NA,NA,NA,NA
2001,5,31,4,1115,1115,1211,1215,WN,540,N504@@,56,60,48,-4,0,OAK,BUR,325,2,6,0,NA,0,NA,NA,NA,NA,NA
2001,3,30,5,1906,1910,2140,2139,UA,2480,N923�1,94,89,68,1,-4,SFO,BOI,522,3,23,0,NA,0,NA,NA,NA,NA,NA
2001,8,26,7,1121,1123,1439,1445,UA,1466,N945�1,138,142,122,-6,-2,OAK,DEN,957,8,8,0,NA,0,NA,NA,NA,NA,NA
2001,6,8,5,1203,1153,1325,1305,AA,670,N503A1,82,72,61,20,10,OAK,LAX,337,6,15,0,NA,0,NA,NA,NA,NA,NA
2001,3,10,6,1229,1235,1342,1356,UA,2033,N924�1,73,81,56,-14,-6,SFO,LAX,337,10,7,0,NA,0,NA,NA,NA,NA,NA
2001,1,16,2,1700,1700,1820,1825,UA,901,N369�1,80,85,57,-5,0,SFO,LAX,337,7,16,0,NA,0,NA,NA,NA,NA,NA
2001,2,20,2,700,700,825,815,WN,753,N682@@,85,75,59,10,0,OAK,LAX,337,7,19,0,NA,0,NA,NA,NA,NA,NA
2001,10,10,3,923,925,1108,1121,UA,2354,N386�1,105,116,88,-13,-2,SFO,PHX,651,6,11,0,NA,0,NA,NA,NA,NA,NA
2001,10,21,7,1743,1730,1914,1851,UA,1831,N469�1,91,81,59,23,13,SFO,LAX,337,9,23,0,NA,0,NA,NA,NA,NA,NA
2001,2,1,4,1852,1845,1933,1930,WN,770,N610@@,41,45,32,3,7,OAK,RNO,180,3,6,0,NA,0,NA,NA,NA,NA,NA
2001,9,7,5,NA,2104,NA,2227,HP,219,N628A�,NA,83,NA,NA,NA,SFO,LAS,414,0,0,1,NA,0,NA,NA,NA,NA,NA
2001,8,31,5,1235,1205,1425,1404,UA,1010,N377�1,110,119,89,21,30,SFO,SEA,679,3,18,0,NA,0,NA,NA,NA,NA,NA
2001,5,21,1,1327,1330,1431,1440,UA,2215,N390�1,64,70,49,-9,-3,SFO,BUR,326,2,13,0,NA,0,NA,NA,NA,NA,NA
2001,12,30,7,1005,1005,1300,1315,WN,962,N300@@,115,130,107,-15,0,OAK,ABQ,889,3,5,0,NA,0,NA,NA,NA,NA,NA
2001,10,15,1,1714,1705,1840,1840,WN,797,N762@@,86,95,73,0,9,OAK,PDX,543,3,10,0,NA,0,NA,NA,NA,NA,NA
2001,10,14,7,1655,1630,1852,1745,WN,873,N338@@,117,75,54,67,25,OAK,LAX,337,57,6,0,NA,0,NA,NA,NA,NA,NA
2001,7,22,7,712,705,850,830,WN,1501,N776@@,98,85,85,20,7,OAK,SAN,446,5,8,0,NA,0,NA,NA,NA,NA,NA
2001,1,9,2,810,810,1644,1643,DL,1974,-N181D,334,333,306,1,0,SFO,JFK,2586,12,16,0,NA,0,NA,NA,NA,NA,NA
2001,10,28,7,1112,1110,1449,1433,UA,1432,N452�1,157,143,112,16,2,SFO,DEN,967,27,18,0,NA,0,NA,NA,NA,NA,NA
2001,1,30,2,1720,1655,1832,1815,WN,1005,N658@@,72,80,66,17,25,OAK,SAN,446,2,4,0,NA,0,NA,NA,NA,NA,NA
2001,2,7,3,2000,1925,2118,2045,WN,690,N663@@,78,80,58,33,35,OAK,SNA,371,10,10,0,NA,0,NA,NA,NA,NA,NA
2001,2,11,7,757,800,1558,1626,UA,22,N614�1,301,326,272,-28,-3,SFO,JFK,2586,8,21,0,NA,0,NA,NA,NA,NA,NA
2001,10,20,6,826,820,1014,1021,UA,2104,N914�1,108,121,94,-7,6,SFO,SEA,679,3,11,0,NA,0,NA,NA,NA,NA,NA
2001,4,10,2,1120,1120,1945,1955,UA,172,N648�1,325,335,305,-10,0,SFO,BOS,2704,7,13,0,NA,0,NA,NA,NA,NA,NA
2001,2,12,1,1841,1840,2130,2131,UA,2364,N396�1,109,111,96,-1,1,SFO,PHX,651,4,9,0,NA,0,NA,NA,NA,NA,NA
